,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PTS,MA_FGM,MA_FGA,MA_FG_PCT,MA_FG3M,MA_FG3A,MA_FG3_PCT,MA_FTM,MA_FTA,MA_FT_PCT,MA_OREB,MA_STL,MA_MIN,MA_PLUS_MINUS,AVG_PTS,AVG_FGM,AVG_FGA,AVG_FG_PCT,AVG_FG3M,AVG_FG3A,AVG_FG3_PCT,AVG_FTM,AVG_FTA,AVG_FT_PCT,AVG_OREB,AVG_STL,AVG_MIN,AVG_PLUS_MINUS,VS_AVG_PTS,VS_AVG_FGM,VS_AVG_FGA,VS_AVG_FG_PCT,VS_AVG_FG3M,VS_AVG_FG3A,VS_AVG_FG3_PCT,VS_AVG_FTM,VS_AVG_FTA,VS_AVG_FT_PCT,VS_AVG_OREB,VS_AVG_STL,VS_AVG_MIN,VS_AVG_PLUS_MINUS,target
0,22024,1631101,0022400183,"NOV 07, 2024",POR @ SAS,L,20,6,9,0.667,1,4,0.25,0,0,0.0,1,1,2,1,0,1,1,2,13,-4,1,POR,1610612757,SAS,1610612759,0,G,1,0,0,1,0,0,21.0,77,208,3,6,107.77777777777777,2,3,106.6,4,5,108.11111111111111,2,3,103.2,13.0,6.0,9.0,0.667,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,20.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,22024,1631101,0022400193,"NOV 08, 2024",POR @ MIN,L,21,2,8,0.25,0,4,0.0,2,3,0.667,0,2,2,2,0,0,2,1,6,0,1,POR,1610612757,MIN,1610612750,0,G,1,0,0,1,0,0,21.0,77,208,3,7,107.2,2,3,108.0,6,3,109.88888888888889,3,2,117.0,9.5,4.0,8.5,0.4585,0.5,4.0,0.125,1.0,1.5,0.3335,0.5,0.0,20.5,-2.0,13.0,6.0,9.0,0.667,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,20.0,-4.0,13.0,6.0,9.0,0.667,1.0,4.0,0.25,0.0,0.0,0.0,1.0,0.0,20.0,-4.0,0
2,22024,1631101,0022400210,"NOV 10, 2024",POR vs. MEM,L,19,3,10,0.3,0,5,0.0,1,2,0.5,2,1,3,0,0,0,0,0,7,-23,1,POR,1610612757,MEM,1610612763,1,G,1,0,0,1,0,0,21.0,77,208,3,8,105.54545454545455,1,4,107.2,7,4,111.54545454545455,4,1,121.8,8.666666666666666,3.6666666666666665,9.0,0.4056666666666667,0.3333333333333333,4.333333333333333,0.08333333333333333,1.0,1.6666666666666667,0.389,1.0,0.0,20.0,-9.0,9.5,4.0,8.5,0.4585,0.5,4.0,0.125,1.0,1.5,0.3335,0.5,0.0,20.5,-2.0,9.5,4.0,8.5,0.4585,0.5,4.0,0.125,1.0,1.5,0.3335,0.5,0.0,20.5,-2.0,0
3,22024,1631101,0022400008,"NOV 12, 2024",POR vs. MIN,W,33,7,15,0.467,3,5,0.6,0,0,0.0,1,2,3,3,3,0,2,4,17,3,1,POR,1610612757,MIN,1610612750,1,G,1,0,0,1,0,0,21.0,77,208,4,8,106.91666666666667,1,4,102.2,6,5,109.63636363636364,3,2,114.6,10.75,4.5,10.5,0.42100000000000004,1.0,4.5,0.2125,0.75,1.25,0.29175,1.0,0.75,23.25,-6.0,8.666666666666666,3.6666666666666665,9.0,0.4056666666666667,0.3333333333333333,4.333333333333333,0.08333333333333333,1.0,1.6666666666666667,0.389,1.0,0.0,20.0,-9.0,6.0,2.0,8.0,0.25,0.0,4.0,0.0,2.0,3.0,0.667,0.0,0.0,21.0,0.0,1
4,22024,1631101,0022400226,"NOV 13, 2024",POR vs. MIN,W,36,12,23,0.522,3,10,0.3,6,7,0.857,1,5,6,1,0,0,3,2,33,-6,1,POR,1610612757,MIN,1610612750,1,G,1,0,0,1,0,0,21.0,77,208,5,8,106.84615384615384,2,3,107.2,6,6,109.33333333333333,3,2,115.6,15.2,6.0,13.0,0.4412,1.4,5.6,0.22999999999999998,1.8,2.4,0.4048,1.0,0.6,25.8,-6.0,10.75,4.5,10.5,0.42100000000000004,1.0,4.5,0.2125,0.75,1.25,0.29175,1.0,0.75,23.25,-6.0,11.5,4.5,11.5,0.35850000000000004,1.5,4.5,0.3,1.0,1.5,0.3335,0.5,1.5,27.0,1.5,1
5,22024,1631101,0022400239,"NOV 17, 2024",POR vs. ATL,W,32,11,21,0.524,3,8,0.375,7,12,0.583,0,2,2,5,3,0,3,3,32,8,1,POR,1610612757,ATL,1610612737,1,G,1,0,0,1,0,0,21.0,77,208,6,8,107.35714285714286,2,3,104.8,6,8,120.35714285714286,3,2,120.2,19.0,7.0,15.4,0.4126,1.8,6.4,0.255,3.2,4.8,0.5214000000000001,0.8,1.2,28.2,-3.6,15.2,6.0,13.0,0.4412,1.4,5.6,0.22999999999999998,1.8,2.4,0.4048,1.0,0.6,25.8,-6.0,15.2,6.0,13.0,0.4412,1.4,5.6,0.22999999999999998,1.8,2.4,0.4048,1.0,0.6,25.8,-6.0,1
6,22024,1631101,0022400256,"NOV 20, 2024",POR @ OKC,L,38,6,16,0.375,4,8,0.5,5,6,0.833,0,4,4,2,0,0,6,3,21,-8,1,POR,1610612757,OKC,1610612760,0,G,1,0,0,1,0,0,21.0,77,208,6,9,106.8,3,2,106.6,12,4,103.625,3,2,112.4,22.0,7.8,17.0,0.43760000000000004,2.6,7.2,0.355,3.8,5.4,0.5546,0.8,1.2,31.6,-5.2,18.0,6.833333333333333,14.333333333333334,0.455,1.6666666666666667,6.0,0.25416666666666665,2.6666666666666665,4.0,0.43450000000000005,0.8333333333333334,1.0,26.833333333333332,-3.6666666666666665,18.0,6.833333333333333,14.333333333333334,0.455,1.6666666666666667,6.0,0.25416666666666665,2.6666666666666665,4.0,0.43450000000000005,0.8333333333333334,1.0,26.833333333333332,-3.6666666666666665,1
7,22024,1631101,0022400031,"NOV 22, 2024",POR @ HOU,L,23,3,9,0.333,1,3,0.333,6,6,1.0,1,0,1,2,2,0,0,1,13,-18,1,POR,1610612757,HOU,1610612745,0,G,1,0,0,1,0,0,21.0,77,208,6,10,105.625,3,2,106.0,12,5,105.11764705882354,4,1,121.8,23.2,7.8,16.8,0.44420000000000004,2.8,6.8,0.42160000000000003,4.8,6.2,0.6546,0.6,1.6,32.4,-4.2,18.428571428571427,6.714285714285714,14.571428571428571,0.44357142857142856,2.0,6.285714285714286,0.28928571428571426,3.0,4.285714285714286,0.49142857142857144,0.7142857142857143,0.8571428571428571,28.428571428571427,-4.285714285714286,18.428571428571427,6.714285714285714,14.571428571428571,0.44357142857142856,2.0,6.285714285714286,0.28928571428571426,3.0,4.285714285714286,0.49142857142857144,0.7142857142857143,0.8571428571428571,28.428571428571427,-4.285714285714286,0
8,22024,1631101,0022400267,"NOV 23, 2024",POR @ HOU,W,36,7,18,0.389,4,9,0.444,6,6,1.0,1,2,3,1,2,0,2,3,24,9,1,POR,1610612757,HOU,1610612745,0,G,1,0,0,1,0,0,21.0,77,208,7,10,105.52941176470588,3,2,105.8,12,6,105.05555555555556,4,1,122.8,24.6,7.8,17.4,0.4286,3.0,7.6,0.39039999999999997,6.0,7.4,0.8545999999999999,0.6,1.4,33.0,-3.0,17.75,6.25,13.875,0.42975,1.875,5.875,0.29475,3.375,4.5,0.5549999999999999,0.75,1.0,27.75,-6.0,13.0,3.0,9.0,0.333,1.0,3.0,0.333,6.0,6.0,1.0,1.0,2.0,23.0,-18.0,1
9,22024,1631101,0022400282,"NOV 25, 2024",POR @ MEM,L,30,4,12,0.333,1,6,0.167,6,6,1.0,2,2,4,2,0,2,1,0,15,-22,1,POR,1610612757,MEM,1610612763,0,G,1,0,0,1,0,0,21.0,77,208,7,11,105.11111111111111,3,2,102.2,11,7,112.77777777777777,3,2,118.4,21.0,6.2,15.2,0.39080000000000004,2.6,6.8,0.3638,6.0,7.2,0.8831999999999999,0.8,1.4,31.8,-6.2,18.444444444444443,6.333333333333333,14.333333333333334,0.4252222222222222,2.111111111111111,6.222222222222222,0.31133333333333335,3.6666666666666665,4.666666666666667,0.6044444444444443,0.7777777777777778,1.1111111111111112,28.666666666666668,-4.333333333333333,7.0,3.0,10.0,0.3,0.0,5.0,0.0,1.0,2.0,0.5,2.0,0.0,19.0,-23.0,0
