,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,Home_Away
0,22024,202696,22400069,"OCT 23, 2024",CHI @ NOP,L,31,8,12,0.667,1,2,0.5,4,5,0.8,2,9,11,1,0,0,1,3,21,-14,1,21.0,8.0,12.0,0.0,0.0,1.0,0.667,31.0,-14.0,,CHI,1610612741,NOP,1610612740,117.0,114.7,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,0,5,0.0,0
1,22024,202696,22400083,"OCT 25, 2024",CHI @ MIL,W,32,7,17,0.412,4,9,0.444,4,4,1.0,2,8,10,4,0,0,1,4,22,7,1,21.5,7.5,14.5,0.0,0.0,1.0,0.5395,31.5,-3.5,21.0,CHI,1610612741,MIL,1610612749,111.1,109.1,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,0,5,22.2,0
2,22024,202696,22400091,"OCT 26, 2024",CHI vs. OKC,L,33,7,12,0.583,2,2,1.0,2,2,1.0,3,10,13,2,0,1,3,2,18,-14,1,20.33333333333333,7.333333333333333,13.666666666666666,0.0,0.3333333333333333,1.6666666666666667,0.5539999999999999,32.0,-7.0,21.5,CHI,1610612741,OKC,1610612760,103.4,100.9,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,1,4,48.8,1
3,22024,202696,22400108,"OCT 28, 2024",CHI @ MEM,W,35,9,19,0.474,4,8,0.5,0,0,0.0,2,5,7,5,0,1,1,3,22,-4,1,20.75,7.75,15.0,0.0,0.5,1.5,0.534,32.75,-6.25,20.33333333333333,CHI,1610612741,MEM,1610612763,115.2,106.8,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,1,4,67.8,0
4,22024,202696,22400123,"OCT 30, 2024",CHI vs. ORL,W,35,7,16,0.438,0,3,0.0,4,4,1.0,6,8,14,5,1,1,4,4,18,6,1,20.2,7.6,15.2,0.2,0.6,2.0,0.5147999999999999,33.2,-3.8,20.75,CHI,1610612741,ORL,1610612753,103.7,104.8,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,2,3,93.0,1
5,22024,202696,22400136,"NOV 01, 2024",CHI @ BKN,L,34,10,11,0.909,3,4,0.75,5,5,1.0,3,8,11,3,1,1,0,0,28,-7,1,21.6,8.0,15.0,0.4,0.8,1.8,0.5631999999999999,33.8,-2.4,20.2,CHI,1610612741,BKN,1610612751,114.0,114.1,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,3,2,113.4,0
6,22024,202696,22400160,"NOV 04, 2024",CHI vs. UTA,L,33,9,17,0.529,2,5,0.4,3,3,1.0,1,9,10,6,1,3,0,1,23,-2,1,21.8,8.4,15.0,0.6,1.4,1.6,0.5866,34.0,-4.2,21.5,CHI,1610612741,UTA,1610612762,117.6,115.9,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,3,2,113.6,1
7,22024,202696,22400176,"NOV 06, 2024",CHI @ DAL,L,25,7,10,0.7,0,2,0.0,0,0,0.0,3,7,10,3,1,0,2,2,14,-21,1,21.0,8.4,14.6,0.8,1.2,1.4,0.61,32.4,-5.6,21.714285714285715,CHI,1610612741,DAL,1610612742,112.2,109.7,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,2,3,112.2,0
8,22024,202696,22400181,"NOV 07, 2024",CHI vs. MIN,L,30,11,15,0.733,3,5,0.6,0,2,0.0,2,3,5,2,0,1,2,4,25,-17,1,21.6,8.8,13.8,0.8,1.2,1.6,0.6618,31.4,-8.2,20.75,CHI,1610612741,MIN,1610612750,107.9,107.5,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,2,3,113.0,1
9,22024,202696,22400198,"NOV 09, 2024",CHI @ ATL,W,31,8,13,0.615,2,4,0.5,0,0,0.0,2,10,12,1,2,0,2,2,18,6,1,21.6,9.0,13.2,1.0,1.0,1.2,0.6971999999999999,30.6,-8.2,21.22222222222222,CHI,1610612741,ATL,1610612737,119.1,111.4,117.5,110.8,C,0,0,1,0,0,1,34.0,82,260,18,23,1,4,111.6,0
