,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,OPP_PPG_ALLOWED,OPP_DEF_EFFICIENCY,PPG,OFF_EFFICIENCY,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,L5_W,L5_L,L5_PPG,Home_Away
0,22024,1627750,22400075,"OCT 24, 2024",DEN vs. OKC,L,38,4,13,0.308,2,5,0.4,2,2,1.0,2,4,6,4,2,0,3,2,12,-2,1,12.0,4.0,13.0,2.0,0.0,3.0,0.308,38.0,-2.0,,DEN,1610612743,OKC,1610612760,103.4,100.9,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,0,5,0.0,1
1,22024,1627750,22400087,"OCT 26, 2024",DEN vs. LAC,L,37,7,14,0.5,3,6,0.5,5,5,1.0,0,2,2,5,2,0,2,1,22,6,1,17.0,5.5,13.5,2.0,0.0,2.5,0.404,37.5,2.0,12.0,DEN,1610612743,LAC,1610612746,107.1,106.2,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,0,5,17.4,1
2,22024,1627750,22400107,"OCT 28, 2024",DEN @ TOR,W,40,6,20,0.3,0,2,0.0,5,5,1.0,1,8,9,7,1,0,0,2,17,8,1,17.0,5.666666666666667,15.666666666666666,1.6666666666666667,0.0,1.6666666666666667,0.3693333333333333,38.333333333333336,4.0,17.0,DEN,1610612743,TOR,1610612761,118.2,115.1,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,0,5,38.2,0
3,22024,1627750,22400113,"OCT 29, 2024",DEN @ BKN,W,37,8,19,0.421,2,7,0.286,6,8,0.75,0,3,3,3,0,0,1,3,24,3,1,18.75,6.25,16.5,1.25,0.0,1.5,0.38225,38.0,3.75,17.0,DEN,1610612743,BKN,1610612751,114.0,114.1,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,1,4,63.6,0
4,22024,1627750,22400139,"NOV 01, 2024",DEN @ MIN,L,22,2,7,0.286,0,3,0.0,2,2,1.0,0,2,2,3,1,0,0,0,6,8,1,16.2,5.4,14.6,1.2,0.0,1.2,0.363,34.8,4.6,18.75,DEN,1610612743,MIN,1610612750,107.9,107.5,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,2,3,92.4,0
5,22024,1627750,22400194,"NOV 08, 2024",DEN vs. MIA,W,35,9,17,0.529,4,10,0.4,6,6,1.0,0,4,4,6,0,0,4,0,28,28,1,19.4,6.4,15.4,0.8,0.0,1.4,0.4072,34.2,10.6,16.2,DEN,1610612743,MIA,1610612748,109.5,109.1,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,4,1,126.8,1
6,22024,1627750,22400208,"NOV 10, 2024",DEN vs. DAL,W,38,7,17,0.412,2,6,0.333,2,5,0.4,0,1,1,6,0,0,2,3,18,15,1,18.6,6.4,16.0,0.4,0.0,1.4,0.3896,34.4,12.4,18.166666666666668,DEN,1610612743,DAL,1610612742,112.2,109.7,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,4,1,125.0,1
7,22024,1627750,22400017,"NOV 15, 2024",DEN @ NOP,L,43,6,16,0.375,2,8,0.25,2,2,1.0,0,6,6,8,2,0,0,1,16,0,1,18.4,6.4,15.2,0.6,0.0,1.4,0.4046,35.0,10.8,18.142857142857142,DEN,1610612743,NOP,1610612740,117.0,114.7,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,5,0,126.2,0
8,22024,1627750,22400238,"NOV 17, 2024",DEN @ MEM,L,37,6,15,0.4,1,6,0.167,0,0,0.0,1,5,6,7,3,2,6,3,13,-3,1,16.2,6.0,14.4,1.2,0.4,2.4,0.4004,35.0,9.6,17.875,DEN,1610612743,MEM,1610612763,115.2,106.8,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,4,1,119.2,0
9,22024,1627750,22400023,"NOV 19, 2024",DEN @ MEM,W,36,10,20,0.5,5,10,0.5,2,3,0.667,1,3,4,6,3,2,3,2,27,18,1,20.4,7.6,17.0,1.6,0.8,3.0,0.4432,37.8,11.6,17.333333333333332,DEN,1610612743,MEM,1610612763,115.2,106.8,120.0,115.5,G,1,0,0,1,0,0,27.0,76,215,24,16,3,2,113.0,0
