,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,1628381,0022400070,"OCT 23, 2024",UTA vs. MEM,L,18,5,12,0.417,0,3,0.0,1,1,1.0,1,4,5,0,1,1,2,5,11,-9,1,11.0,5.0,12.0,1.0,1.0,2.0,0.417,18.0,-9.0,,UTA,1610612762,MEM,1610612763,F-C,0,1,0,0,1,1,27.0,81,226,0,1,124.0,0,5,0.0,1,0,124.0,0,5,0.0,1
1,22024,1628381,0022400084,"OCT 25, 2024",UTA vs. GSW,L,24,4,10,0.4,1,3,0.333,5,5,1.0,2,5,7,4,1,1,3,2,14,-13,1,12.5,4.5,11.0,1.0,1.0,2.5,0.4085,21.0,-11.0,11.0,UTA,1610612762,GSW,1610612744,F-C,0,1,0,0,1,1,27.0,81,226,0,2,105.0,0,5,24.8,2,0,95.0,1,4,28.0,1
2,22024,1628381,0022400110,"OCT 28, 2024",UTA @ DAL,L,19,5,13,0.385,3,6,0.5,3,3,1.0,2,4,6,3,1,1,2,5,16,-8,1,13.666666666666666,4.666666666666667,11.666666666666666,1.0,1.0,2.3333333333333335,0.40066666666666667,20.333333333333332,-10.0,12.5,UTA,1610612762,DAL,1610612742,F-C,0,1,0,0,1,1,27.0,81,226,0,3,104.0,0,5,42.0,2,1,108.33333333333333,1,4,44.4,0
3,22024,1628381,0022400115,"OCT 29, 2024",UTA vs. SAC,L,23,7,16,0.438,1,4,0.25,3,3,1.0,4,3,7,0,1,1,2,4,18,-18,1,14.75,5.25,12.75,1.0,1.0,2.25,0.41000000000000003,21.0,-12.0,13.666666666666666,UTA,1610612762,SAC,1610612758,F-C,0,1,0,0,1,1,27.0,81,226,0,4,102.0,0,5,62.4,2,2,110.5,1,4,70.6,1
4,22024,1628381,0022400130,"OCT 31, 2024",UTA vs. SAS,L,28,6,13,0.462,0,1,0.0,2,2,1.0,4,7,11,3,1,1,2,3,14,-6,1,14.6,5.4,12.8,1.0,1.0,2.2,0.4204,22.4,-10.8,14.75,UTA,1610612762,SAS,1610612759,F-C,0,1,0,0,1,1,27.0,81,226,0,5,99.2,0,5,81.6,2,3,105.0,1,4,82.4,1
5,22024,1628381,0022400148,"NOV 02, 2024",UTA @ DEN,L,22,5,9,0.556,1,1,1.0,4,5,0.8,0,5,5,5,1,1,2,4,15,-4,1,15.4,5.4,12.2,1.0,1.0,2.2,0.44820000000000004,23.2,-9.8,14.6,UTA,1610612762,DEN,1610612743,F-C,0,1,0,0,1,1,27.0,81,226,0,6,99.83333333333333,0,5,99.2,3,3,116.16666666666667,2,3,115.6,0
6,22024,1628381,0022400160,"NOV 04, 2024",UTA @ CHI,W,31,12,17,0.706,2,4,0.5,2,2,1.0,3,10,13,5,0,1,2,3,28,11,1,18.2,7.0,13.6,0.8,1.0,2.0,0.5094000000000001,24.6,-5.0,14.666666666666666,UTA,1610612762,CHI,1610612741,F-C,0,1,0,0,1,1,27.0,81,226,1,6,104.85714285714286,0,5,95.0,3,4,119.42857142857143,3,2,113.6,0
7,22024,1628381,0022400182,"NOV 07, 2024",UTA @ MIL,L,25,4,7,0.571,0,1,0.0,3,3,1.0,0,3,3,1,0,0,4,1,11,-12,1,17.2,6.8,12.4,0.6,0.8,2.4,0.5466,25.8,-5.8,16.571428571428573,UTA,1610612762,MIL,1610612749,F-C,0,1,0,0,1,1,27.0,81,226,1,7,104.25,1,4,104.8,2,6,116.0,0,5,107.2,0
8,22024,1628381,0022400197,"NOV 09, 2024",UTA @ SAS,W,29,6,11,0.545,1,3,0.333,2,2,1.0,3,7,10,2,3,0,5,5,15,10,1,16.6,6.6,11.4,1.0,0.6,3.0,0.5680000000000001,27.0,-0.2,15.875,UTA,1610612762,SAS,1610612759,F-C,0,1,0,0,1,1,27.0,81,226,2,7,105.0,1,4,104.4,4,6,108.4,3,2,108.2,0
9,22024,1628381,0022400006,"NOV 12, 2024",UTA vs. PHX,L,34,12,19,0.632,3,6,0.5,2,2,1.0,4,6,10,4,3,1,2,1,29,1,1,19.6,7.8,12.6,1.4,0.6,3.0,0.602,28.2,1.2,15.777777777777779,UTA,1610612762,PHX,1610612756,F-C,0,1,0,0,1,1,27.0,81,226,2,8,105.7,2,3,107.4,9,2,112.63636363636364,4,1,113.6,1
