,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,MA_PTS,MA_FGM,MA_FGA,MA_STL,MA_BLK,MA_TOV,MA_FG_PCT,MA_MIN,MA_PLUS_MINUS,AVG_PTS,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,Home_Away
0,22024,2544,0022400062,"OCT 22, 2024",LAL vs. MIN,W,35,7,16,0.438,1,4,0.25,1,1,1.0,0,5,5,4,0,2,2,3,16,-6,1,16.0,7.0,16.0,0.0,2.0,2.0,0.438,35.0,-6.0,,LAL,1610612747,MIN,1610612750,F,0,1,0,0,1,0,40.0,81,250,1,0,110.0,0,5,0.0,0,1,110.0,0,5,0.0,1
1,22024,2544,0022400085,"OCT 25, 2024",LAL vs. PHX,W,35,7,13,0.538,2,5,0.4,5,8,0.625,0,4,4,8,0,0,2,1,21,14,1,18.5,7.0,14.5,0.0,1.0,2.0,0.488,35.0,4.0,16.0,LAL,1610612747,PHX,1610612756,F,0,1,0,0,1,0,40.0,81,250,2,0,116.5,1,4,22.0,1,1,118.0,1,4,23.2,1
2,22024,2544,0022400096,"OCT 26, 2024",LAL vs. SAC,W,34,12,22,0.545,4,9,0.444,4,4,1.0,0,14,14,10,0,1,5,3,32,13,1,23.0,8.666666666666666,17.0,0.0,1.0,3.0,0.507,34.666666666666664,7.0,18.5,LAL,1610612747,SAC,1610612758,F,0,1,0,0,1,0,40.0,81,250,3,0,121.33333333333333,2,3,46.6,0,2,124.0,0,3,23.0,1
3,22024,2544,0022400111,"OCT 28, 2024",LAL @ PHX,L,36,3,14,0.214,2,5,0.4,3,6,0.5,0,5,5,8,1,0,2,1,11,-17,1,20.0,7.25,16.25,0.25,0.75,2.75,0.43375,35.0,1.0,23.0,LAL,1610612747,PHX,1610612756,F,0,1,0,0,1,0,40.0,81,250,3,1,117.25,3,2,72.8,3,1,110.75,2,2,69.2,0
4,22024,2544,0022400118,"OCT 30, 2024",LAL @ CLE,L,29,9,13,0.692,1,3,0.333,7,7,1.0,1,5,6,3,0,0,6,2,26,-17,1,21.2,7.6,15.6,0.2,0.6,3.4,0.4854,33.8,-2.6,20.0,LAL,1610612747,CLE,1610612739,F,0,1,0,0,1,0,40.0,81,250,3,2,115.8,3,2,93.8,5,0,107.4,4,2,98.8,0
5,22024,2544,0022400137,"NOV 01, 2024",LAL @ TOR,W,36,9,17,0.529,5,8,0.625,4,6,0.667,0,6,6,10,1,0,0,1,27,11,1,23.4,8.0,15.8,0.4,0.2,3.0,0.5035999999999999,34.0,0.8,21.2,LAL,1610612747,TOR,1610612761,F,0,1,0,0,1,0,40.0,81,250,4,2,118.33333333333333,3,2,115.8,1,5,125.16666666666667,1,2,116.0,0
6,22024,2544,0022400156,"NOV 04, 2024",LAL @ DET,L,40,7,16,0.438,1,2,0.5,5,5,1.0,1,7,8,11,2,0,1,1,20,-16,1,23.2,8.0,16.4,0.8,0.2,2.8,0.48360000000000003,35.0,-5.2,22.166666666666668,LAL,1610612747,DET,1610612765,F,0,1,0,0,1,0,40.0,81,250,4,3,116.14285714285714,3,2,120.0,3,5,109.5,2,2,105.0,0
7,22024,2544,0022400174,"NOV 06, 2024",LAL @ MEM,L,35,15,24,0.625,6,11,0.545,3,4,0.75,0,7,7,6,1,0,5,2,39,-21,1,24.6,8.6,16.8,1.0,0.0,2.8,0.49960000000000004,35.2,-12.0,21.857142857142858,LAL,1610612747,MEM,1610612763,F,0,1,0,0,1,0,40.0,81,250,4,4,115.875,2,3,116.0,5,4,114.88888888888889,2,3,115.8,0
8,22024,2544,0022400195,"NOV 08, 2024",LAL vs. PHI,W,34,9,14,0.643,2,4,0.5,1,1,1.0,0,12,12,13,0,3,2,0,21,12,1,26.6,9.8,16.8,0.8,0.6,2.8,0.5854,34.8,-6.2,24.0,LAL,1610612747,PHI,1610612755,F,0,1,0,0,1,0,40.0,81,250,5,4,115.88888888888889,1,4,112.6,1,7,115.75,1,4,106.8,1
9,22024,2544,0022400211,"NOV 10, 2024",LAL vs. TOR,W,35,6,14,0.429,0,3,0.0,7,7,1.0,2,8,10,16,1,0,3,0,19,13,1,25.2,9.2,17.0,1.0,0.6,2.2,0.5327999999999999,36.0,-0.2,23.666666666666668,LAL,1610612747,TOR,1610612761,F,0,1,0,0,1,0,40.0,81,250,6,4,116.6,2,3,114.8,2,9,122.72727272727273,1,3,117.0,1
10,22024,2544,0022400225,"NOV 13, 2024",LAL vs. MEM,W,37,13,22,0.591,4,7,0.571,5,8,0.625,1,11,12,14,1,0,6,2,35,3,1,26.8,10.0,18.0,1.0,0.6,3.4,0.5452,36.2,-1.8,23.2,LAL,1610612747,MEM,1610612763,F,0,1,0,0,1,0,40.0,81,250,7,4,117.63636363636364,3,2,117.4,7,5,112.91666666666667,4,2,124.2,1
11,22024,2544,0022400015,"NOV 15, 2024",LAL @ SAS,W,38,6,12,0.5,1,4,0.25,2,4,0.5,1,15,16,12,1,0,7,0,15,3,1,25.8,9.8,17.2,0.8,0.6,4.6,0.5576,35.8,2.0,24.272727272727273,LAL,1610612747,SAS,1610612759,F,0,1,0,0,1,0,40.0,81,250,8,4,117.83333333333333,3,2,116.8,6,7,110.0,3,2,116.6,0
12,22024,2544,0022400231,"NOV 16, 2024",LAL @ NOP,W,37,8,19,0.421,2,7,0.286,3,5,0.6,4,3,7,5,1,0,6,1,21,1,1,22.2,8.4,16.2,0.8,0.6,4.8,0.5168,36.2,6.4,23.5,LAL,1610612747,NOP,1610612740,F,0,1,0,0,1,0,40.0,81,250,9,4,116.76923076923077,4,1,120.2,4,10,113.28571428571429,1,1,100.8,0
13,22024,2544,0022400026,"NOV 19, 2024",LAL vs. UTA,W,34,9,17,0.529,1,5,0.2,7,11,0.636,0,2,2,12,0,0,4,1,26,-5,1,23.2,8.4,16.8,0.8,0.0,5.2,0.49399999999999994,36.2,3.0,23.307692307692307,LAL,1610612747,UTA,1610612762,F,0,1,0,0,1,0,40.0,81,250,10,4,117.28571428571429,5,0,118.2,3,11,118.85714285714286,2,0,112.0,1
14,22024,2544,0022400263,"NOV 21, 2024",LAL vs. ORL,L,37,12,22,0.545,5,9,0.556,2,4,0.5,2,8,10,7,0,1,4,0,31,-8,1,25.6,9.6,18.4,0.6,0.2,5.4,0.5172000000000001,36.6,-1.2,23.5,LAL,1610612747,ORL,1610612753,F,0,1,0,0,1,0,40.0,81,250,10,5,117.33333333333333,5,0,119.8,10,7,103.23529411764706,4,0,101.6,1
15,22024,2544,0022400270,"NOV 23, 2024",LAL vs. DEN,L,35,7,17,0.412,1,4,0.25,3,3,1.0,0,6,6,7,3,0,6,3,18,-25,1,22.2,8.4,17.4,1.0,0.2,5.4,0.4814,36.2,-6.8,24.0,LAL,1610612747,DEN,1610612743,F,0,1,0,0,1,0,40.0,81,250,10,6,116.375,4,1,118.8,9,6,114.73333333333333,2,1,109.6,1
16,22024,2544,0022400039,"NOV 26, 2024",LAL @ PHX,L,35,7,16,0.438,2,7,0.286,2,2,1.0,1,7,8,10,0,0,5,0,18,-30,1,22.8,8.6,18.2,0.8,0.2,5.0,0.469,35.6,-13.4,23.625,LAL,1610612747,PHX,1610612756,F,0,1,0,0,1,0,40.0,81,250,10,7,115.41176470588235,3,2,113.6,10,7,113.6470588235294,0,2,105.0,0
17,22024,2544,0022400296,"NOV 27, 2024",LAL @ SAS,W,33,8,18,0.444,0,2,0.0,0,0,0.0,3,7,10,11,1,1,5,0,16,4,1,21.8,8.6,18.0,0.8,0.4,4.8,0.47359999999999997,34.8,-12.8,23.294117647058822,LAL,1610612747,SAS,1610612759,F,0,1,0,0,1,0,40.0,81,250,11,7,115.61111111111111,2,3,109.6,10,9,110.0,4,3,112.2,0
18,22024,2544,0022400048,"NOV 29, 2024",LAL vs. OKC,L,34,5,13,0.385,0,4,0.0,2,2,1.0,0,8,8,6,0,0,5,0,12,-12,1,19.0,7.8,17.2,0.8,0.4,5.0,0.44480000000000003,34.8,-14.2,22.88888888888889,LAL,1610612747,OKC,1610612760,F,0,1,0,0,1,0,40.0,81,250,11,8,114.42105263157895,2,3,112.6,15,4,103.21052631578948,3,3,113.4,1
