,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,1628369,0022400061,"OCT 22, 2024",BOS vs. NYK,W,30,14,18,0.778,8,11,0.727,1,2,0.5,0,4,4,10,1,1,1,1,37,26,1,BOS,1610612738,NYK,1610612752,1,F-G,0,1,0,1,1,0,26.0,80,210,1,0,132.0,1,4,132.0,0,1,132.0,0,5,109.0,26.0,26.0,30.3,30.3,37.0,37.0,14.0,14.0,18.0,18.0,0.778,0.778,8.0,8.0,11.0,11.0,0.727,0.727,1.0,1.0,2.0,2.0,0.5,0.5,0.0,0.0,1.0,1.0,0
1,22024,1628369,0022400073,"OCT 24, 2024",BOS @ WAS,W,29,9,20,0.45,3,11,0.273,4,7,0.571,2,9,11,6,1,0,1,1,25,14,1,BOS,1610612738,WAS,1610612764,0,F-G,0,1,0,1,1,0,26.0,80,210,2,0,127.0,2,3,127.0,0,1,122.0,0,5,102.0,20.0,26.0,29.475,29.475,31.0,31.0,11.5,11.5,19.0,19.0,0.605,0.605,5.5,5.5,11.0,11.0,0.5,0.5,2.5,2.5,4.5,4.5,0.556,0.556,1.0,1.0,1.0,1.0,0
2,22024,1628369,0022400089,"OCT 26, 2024",BOS @ DET,W,38,12,26,0.462,6,13,0.462,7,9,0.778,1,3,4,2,2,1,1,5,37,1,1,BOS,1610612738,DET,1610612765,0,F-G,0,1,0,1,1,0,26.0,80,210,3,0,126.0,3,2,126.0,0,3,117.3,0,5,109.3,13.666666666666666,20.0,32.3611111,32.3611111,33.0,33.0,11.666666666666666,11.666666666666666,21.333333333333332,21.333333333333332,0.547,0.547,5.666666666666667,5.666666666666667,11.666666666666666,11.666666666666666,0.486,0.486,4.0,4.0,6.0,6.0,0.667,0.667,1.0,1.0,1.33,1.33,1
3,22024,1628369,0022400104,"OCT 28, 2024",BOS vs. MIL,W,36,6,16,0.375,1,8,0.125,2,2,1.0,0,8,8,4,2,1,3,5,15,18,1,BOS,1610612738,MIL,1610612749,1,F-G,0,1,0,1,1,0,26.0,80,210,4,0,124.3,4,1,124.3,1,3,119.0,1,4,114.0,14.75,13.666666666666666,33.375,33.375,28.5,28.5,10.25,10.25,20.0,20.0,0.513,0.513,4.5,4.5,10.75,10.75,0.419,0.419,3.5,3.5,5.0,5.0,0.7,0.7,0.75,0.75,1.5,1.5,0
4,22024,1628369,0022400119,"OCT 30, 2024",BOS @ IND,L,43,10,25,0.4,5,18,0.278,12,15,0.8,1,7,8,4,4,0,3,3,37,-7,1,BOS,1610612738,IND,1610612754,0,F-G,0,1,0,1,1,0,26.0,80,210,4,1,125.8,4,1,125.8,2,3,120.2,2,3,115.4,10.4,14.75,35.373333333333335,35.373333333333335,30.2,30.2,10.2,10.2,21.0,21.0,0.486,0.486,4.6,4.6,12.2,12.2,0.377,0.377,5.2,5.2,7.0,7.0,0.743,0.743,0.8,0.8,2.0,2.0,1
5,22024,1628369,0022400132,"NOV 01, 2024",BOS @ CHA,W,36,9,19,0.474,3,9,0.333,11,13,0.846,1,10,11,3,3,1,5,1,32,16,1,BOS,1610612738,CHA,1610612766,0,F-G,0,1,0,1,1,0,26.0,80,210,5,1,125.5,4,1,124.2,2,3,120.2,2,3,116.6,8.4,10.4,36.43666666666667,35.413888883333335,29.2,30.5,9.2,10.0,21.2,20.666666666666668,0.434,0.484,3.6,4.333333333333333,11.8,11.666666666666666,0.305,0.371,7.2,6.166666666666667,9.2,8.0,0.783,0.771,1.0,0.8333333333333334,2.4,2.17,1
6,22024,1628369,0022400141,"NOV 02, 2024",BOS @ CHA,W,34,7,15,0.467,1,9,0.111,14,17,0.824,0,7,7,3,0,0,5,3,29,4,1,BOS,1610612738,CHA,1610612766,0,F-G,0,1,0,1,1,0,26.0,80,210,6,1,123.7,4,1,122.4,2,4,119.0,1,4,115.2,6.4,11.333333333333334,37.45333333333333,35.173809516666665,30.0,30.3,8.8,9.571428571428571,20.2,19.857142857142858,0.436,0.482,3.2,3.857142857142857,11.4,11.285714285714286,0.281,0.342,9.2,7.285714285714286,11.2,9.285714285714286,0.821,0.785,0.6,0.7142857142857143,2.2,1.86,0
7,22024,1628369,0022400157,"NOV 04, 2024",BOS @ ATL,W,30,10,21,0.476,6,14,0.429,2,3,0.667,0,6,6,9,2,0,1,0,28,27,1,BOS,1610612738,ATL,1610612737,0,F-G,0,1,0,1,1,0,26.0,80,210,7,1,123.6,4,1,122.2,3,5,121.9,1,4,114.6,11.6,10.285714285714286,35.92333333333333,34.5875,28.2,30.0,8.4,9.625,19.2,20.0,0.438,0.481,3.2,4.125,11.6,11.625,0.276,0.355,8.2,6.625,10.0,8.5,0.82,0.779,0.4,0.625,2.2,1.88,0
8,22024,1628369,0022400172,"NOV 06, 2024",BOS vs. GSW,L,37,10,20,0.5,5,10,0.5,7,9,0.778,0,4,4,2,1,1,4,3,32,-5,1,BOS,1610612738,GSW,1610612744,1,F-G,0,1,0,1,1,0,26.0,80,210,7,2,122.3,3,2,120.8,7,1,105.3,5,0,119.6,7.0,12.375,35.99,34.827777766666664,31.6,30.2,9.2,9.666666666666666,20.0,20.0,0.46,0.483,4.0,4.222222222222222,12.0,11.444444444444445,0.333,0.369,9.2,6.666666666666667,11.4,8.555555555555555,0.807,0.779,0.4,0.5555555555555556,2.0,1.78,1
9,22024,1628369,0022400187,"NOV 08, 2024",BOS vs. BKN,W,42,11,25,0.44,5,13,0.385,6,7,0.857,0,9,9,6,2,1,3,3,33,10,1,BOS,1610612738,BKN,1610612751,1,F-G,0,1,0,1,1,0,26.0,80,210,8,2,120.9,4,1,116.0,4,5,113.1,3,2,108.2,10.4,10.444444444444445,35.78666666666667,35.58,30.8,30.5,9.4,9.8,20.0,20.5,0.47,0.478,4.0,4.3,11.0,11.6,0.364,0.371,8.0,6.6,9.8,8.4,0.816,0.786,0.2,0.5,1.6,1.8,1
