,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,1630162,0022400062,"OCT 22, 2024",MIN @ LAL,L,41,10,25,0.4,5,13,0.385,2,3,0.667,0,6,6,3,0,0,4,3,27,0,1,MIN,1610612750,LAL,1610612747,0,G,1,0,0,1,0,0,23.0,76,225,0,1,103.0,0,5,103.0,1,0,103.0,1,4,110.0,0.0,0.0,41.06666666666667,41.06666666666667,27.0,27.0,10.0,10.0,25.0,25.0,0.4,0.4,5.0,5.0,13.0,13.0,0.385,0.385,2.0,2.0,3.0,3.0,0.667,0.667,0.0,0.0,0.0,0.0,0
1,22024,1630162,0022400076,"OCT 24, 2024",MIN @ SAC,W,39,10,24,0.417,5,15,0.333,7,7,1.0,1,6,7,4,1,0,3,4,32,10,1,MIN,1610612750,SAC,1610612758,0,G,1,0,0,1,0,0,23.0,76,225,1,1,110.0,1,4,110.0,0,1,117.0,0,5,115.0,5.0,0.0,40.13333333333333,40.13333333333333,29.5,29.5,10.0,10.0,24.5,24.5,0.408,0.408,5.0,5.0,14.0,14.0,0.357,0.357,4.5,4.5,5.0,5.0,0.9,0.9,0.5,0.5,0.5,0.5,1
2,22024,1630162,0022400093,"OCT 26, 2024",MIN vs. TOR,W,39,9,21,0.429,5,12,0.417,1,3,0.333,0,6,6,4,1,1,4,3,24,5,1,MIN,1610612750,TOR,1610612761,1,G,1,0,0,1,0,0,23.0,76,225,2,1,110.7,2,3,110.7,1,2,118.3,1,4,107.3,5.0,5.0,39.81666666666667,39.81666666666667,27.7,27.7,9.666666666666666,9.666666666666666,23.333333333333332,23.333333333333332,0.414,0.414,5.0,5.0,13.333333333333334,13.333333333333334,0.375,0.375,3.3333333333333335,3.3333333333333335,4.333333333333333,4.333333333333333,0.769,0.769,0.3333333333333333,0.3333333333333333,0.67,0.67,0
3,22024,1630162,0022400114,"OCT 29, 2024",MIN vs. DAL,L,37,12,20,0.6,7,13,0.538,6,12,0.5,0,6,6,3,0,1,5,1,37,-8,1,MIN,1610612750,DAL,1610612742,1,G,1,0,0,1,0,0,23.0,76,225,2,2,111.5,2,3,111.5,3,1,109.8,3,2,113.0,1.75,5.0,39.19583333333333,39.19583333333333,30.0,30.0,10.25,10.25,22.5,22.5,0.456,0.456,5.5,5.5,13.25,13.25,0.415,0.415,4.0,4.0,6.25,6.25,0.64,0.64,0.25,0.25,0.5,0.5,1
4,22024,1630162,0022400139,"NOV 01, 2024",MIN vs. DEN,W,38,11,23,0.478,7,14,0.5,0,0,0.0,0,4,4,4,1,1,2,1,29,5,1,MIN,1610612750,DEN,1610612743,1,G,1,0,0,1,0,0,23.0,76,225,3,2,113.0,3,2,113.0,2,3,118.8,2,3,115.6,2.4,1.75,39.016666666666666,39.016666666666666,29.8,29.8,10.4,10.4,22.6,22.6,0.46,0.46,5.8,5.8,13.4,13.4,0.433,0.433,3.2,3.2,5.0,5.0,0.64,0.64,0.2,0.2,0.6,0.6,0
5,22024,1630162,0022400146,"NOV 02, 2024",MIN @ SAS,L,36,8,17,0.471,3,7,0.429,2,4,0.5,0,5,5,2,2,0,3,0,21,-20,1,MIN,1610612750,SAS,1610612759,0,G,1,0,0,1,0,0,23.0,76,225,3,3,111.3,3,2,113.0,3,3,104.7,3,2,104.4,-1.6,2.4,37.913333333333334,38.438888883333334,28.6,28.3,10.0,10.0,21.0,21.666666666666668,0.476,0.462,5.4,5.333333333333333,12.2,12.333333333333334,0.443,0.432,3.2,3.0,5.2,4.833333333333333,0.615,0.621,0.2,0.16666666666666666,1.0,0.83,0
6,22024,1630162,0022400162,"NOV 04, 2024",MIN vs. CHA,W,29,6,11,0.545,4,6,0.667,5,7,0.714,0,5,5,1,1,0,1,1,21,9,1,MIN,1610612750,CHA,1610612766,1,G,1,0,0,1,0,0,23.0,76,225,4,3,111.7,3,2,112.4,2,5,118.3,1,4,109.8,-1.8,-1.3333333333333333,35.89,37.10238095,26.4,27.3,9.2,9.428571428571429,18.4,20.142857142857142,0.5,0.468,5.2,5.142857142857143,10.4,11.428571428571429,0.5,0.45,2.8,3.2857142857142856,5.2,5.142857142857143,0.538,0.639,0.0,0.14285714285714285,1.0,0.86,0
7,22024,1630162,0022400181,"NOV 07, 2024",MIN @ CHI,W,35,13,23,0.565,5,9,0.556,2,2,1.0,3,5,8,6,0,1,2,2,33,15,1,MIN,1610612750,CHI,1610612741,0,G,1,0,0,1,0,0,23.0,76,225,5,3,114.6,3,2,117.0,3,6,121.1,1,4,111.6,0.2,0.14285714285714285,35.016666666666666,36.81666666666667,28.2,28.0,10.0,9.875,18.8,20.5,0.532,0.482,5.2,5.125,9.8,11.125,0.531,0.461,3.0,3.125,5.0,4.75,0.6,0.658,0.6,0.5,0.8,0.75,1
8,22024,1630162,0022400193,"NOV 08, 2024",MIN vs. POR,W,30,12,21,0.571,9,15,0.6,4,5,0.8,0,6,6,5,1,1,6,2,37,29,1,MIN,1610612750,POR,1610612757,1,G,1,0,0,1,0,0,23.0,76,225,6,3,116.0,4,1,119.6,3,7,114.9,1,4,107.2,7.6,2.0,33.57333333333333,36.07222221666667,28.2,29.0,10.0,10.11111111111111,19.0,20.555555555555557,0.526,0.492,5.6,5.555555555555555,10.2,11.555555555555555,0.549,0.481,2.6,3.2222222222222223,3.6,4.777777777777778,0.722,0.674,0.6,0.4444444444444444,1.0,0.78,1
9,22024,1630162,0022400206,"NOV 10, 2024",MIN vs. MIA,L,37,8,24,0.333,4,14,0.286,2,3,0.667,1,4,5,6,2,0,6,3,22,2,1,MIN,1610612750,MIA,1610612748,1,G,1,0,0,1,0,0,23.0,76,225,6,4,113.8,3,2,114.6,4,5,109.9,2,3,111.4,7.0,5.0,33.36666666666667,36.19166666666667,26.8,28.3,9.4,9.9,19.2,20.9,0.49,0.474,5.0,5.4,10.2,11.8,0.49,0.458,3.0,3.1,4.2,4.6,0.714,0.674,0.8,0.5,1.2,0.9,0
