,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,VS_MIN,target
0,22024,1630596,0022400067,"OCT 23, 2024",CLE @ TOR,W,27,9,14,0.643,1,2,0.5,6,6,1.0,4,5,9,3,2,3,1,2,25,31,1,CLE,1610612739,TOR,1610612761,0,C,0,0,1,0,0,1,23.0,83,215,0,0,0.0,0,5,0.0,0,0,0.0,0,5,0.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,22024,1630596,0022400080,"OCT 25, 2024",CLE vs. DET,W,32,6,12,0.5,2,3,0.667,2,2,1.0,1,5,6,3,4,2,4,1,16,8,1,CLE,1610612739,DET,1610612765,1,C,0,0,1,0,0,1,23.0,83,215,1,0,136.0,1,4,136.0,0,1,115.0,0,5,109.0,19.5,31.0,26.95,26.95,25.0,25.0,25.0,9.0,9.0,9.0,14.0,14.0,14.0,0.643,0.643,0.643,1.0,1.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,26.95,0
2,22024,1630596,0022400090,"OCT 26, 2024",CLE @ WAS,W,32,4,13,0.308,0,2,0.0,5,7,0.714,1,12,13,4,0,2,2,4,13,14,1,CLE,1610612739,WAS,1610612764,0,C,0,0,1,0,0,1,23.0,83,215,2,0,124.5,2,3,124.5,0,1,122.0,0,5,102.0,17.666666666666668,19.5,29.341666666666665,29.341666666666665,20.5,20.5,20.5,7.5,7.5,7.5,13.0,13.0,13.0,0.577,0.577,0.577,1.5,1.5,1.5,2.5,2.5,2.5,0.6,0.6,0.6,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.5,2.5,2.5,3.0,3.0,3.0,29.341666666666665,0
3,22024,1630596,0022400106,"OCT 28, 2024",CLE @ NYK,W,36,7,12,0.583,1,1,1.0,2,2,1.0,0,8,8,1,0,3,1,4,17,14,1,CLE,1610612739,NYK,1610612752,0,C,0,0,1,0,0,1,23.0,83,215,3,0,128.0,3,2,128.0,1,1,115.0,1,4,116.0,16.75,17.666666666666668,30.327777766666667,30.327777766666667,18.0,18.0,18.0,6.333333333333333,6.333333333333333,6.333333333333333,13.0,13.0,13.0,0.487,0.487,0.487,1.0,1.0,1.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.429,0.429,0.429,4.333333333333333,4.333333333333333,4.333333333333333,5.0,5.0,5.0,0.867,0.867,0.867,2.0,2.0,2.0,2.0,2.0,2.0,30.327777766666667,0
4,22024,1630596,0022400118,"OCT 30, 2024",CLE vs. LAL,W,19,12,16,0.75,0,0,0.0,1,1,1.0,1,4,5,0,0,0,3,5,25,13,1,CLE,1610612739,LAL,1610612747,1,C,0,0,1,0,0,1,23.0,83,215,4,0,123.5,4,1,123.5,3,1,113.8,3,2,117.3,16.0,16.75,31.695833333333333,31.695833333333333,17.8,17.8,17.8,6.5,6.5,6.5,12.75,12.75,12.75,0.51,0.51,0.51,1.0,1.0,1.0,2.0,2.0,2.0,0.5,0.5,0.5,3.75,3.75,3.75,4.25,4.25,4.25,0.882,0.882,0.882,1.5,1.5,1.5,1.5,1.5,1.5,31.695833333333333,1
5,22024,1630596,0022400133,"NOV 01, 2024",CLE vs. ORL,W,30,6,11,0.545,1,3,0.333,1,1,1.0,1,11,12,3,1,1,3,1,14,9,1,CLE,1610612739,ORL,1610612753,1,C,0,0,1,0,0,1,23.0,83,215,5,0,125.6,5,0,125.6,3,2,107.8,3,2,112.2,11.6,16.0,29.106666666666666,29.106666666666666,19.2,19.2,19.2,7.6,7.6,7.6,13.4,13.4,13.4,0.567,0.567,0.567,0.8,0.8,0.8,1.6,1.6,1.6,0.5,0.5,0.5,3.2,3.2,3.2,3.6,3.6,3.6,0.889,0.889,0.889,1.4,1.4,1.4,1.2,1.2,1.2,29.106666666666666,0
6,22024,1630596,0022400145,"NOV 02, 2024",CLE @ MIL,W,32,7,13,0.538,0,1,0.0,0,0,0.0,1,6,7,5,0,0,1,4,14,-2,1,CLE,1610612739,MIL,1610612749,0,C,0,0,1,0,0,1,23.0,83,215,6,0,124.7,5,0,122.4,1,4,119.6,1,4,111.0,9.6,14.833333333333334,29.666666666666668,29.213888883333333,17.0,18.3,18.3,7.0,7.333333333333333,7.333333333333333,12.8,13.0,13.0,0.547,0.564,0.564,0.8,0.8333333333333334,0.8333333333333334,1.8,1.8333333333333333,1.8333333333333333,0.444,0.455,0.455,2.2,2.8333333333333335,2.8333333333333335,2.6,3.1666666666666665,3.1666666666666665,0.846,0.895,0.895,0.8,1.3333333333333333,1.3333333333333333,1.0,1.17,1.17,29.213888883333333,0
7,22024,1630596,0022400154,"NOV 04, 2024",CLE vs. MIL,W,32,6,15,0.4,1,3,0.333,4,6,0.667,1,4,5,3,0,3,0,1,17,1,1,CLE,1610612739,MIL,1610612749,1,C,0,0,1,0,0,1,23.0,83,215,7,0,123.1,5,0,122.6,1,5,118.7,0,5,108.8,7.0,12.428571428571429,29.636666666666667,29.55238095,16.6,17.7,14.0,7.2,7.285714285714286,7.0,13.0,13.0,13.0,0.554,0.56,0.538,0.4,0.7142857142857143,0.0,1.4,1.7142857142857142,1.0,0.286,0.417,0.0,1.8,2.4285714285714284,0.0,2.2,2.7142857142857144,0.0,0.818,0.895,0.0,0.8,1.2857142857142858,1.0,0.2,1.0,0.0,31.583333333333332,0
8,22024,1630596,0022400175,"NOV 06, 2024",CLE @ NOP,W,29,7,16,0.438,0,1,0.0,1,3,0.333,5,4,9,3,0,3,1,6,15,-7,1,CLE,1610612739,NOP,1610612740,0,C,0,0,1,0,0,1,23.0,83,215,8,0,122.3,5,0,118.8,3,5,116.1,1,4,106.2,2.8,11.0,29.546666666666667,29.839583333333334,17.4,17.6,17.6,7.6,7.125,7.125,13.4,13.25,13.25,0.567,0.538,0.538,0.6,0.75,0.75,1.6,1.875,1.875,0.375,0.4,0.4,1.6,2.625,2.625,2.0,3.125,3.125,0.8,0.84,0.84,0.8,1.25,1.25,0.2,0.88,0.88,29.839583333333334,0
9,22024,1630596,0022400188,"NOV 08, 2024",CLE vs. GSW,W,26,7,12,0.583,0,3,0.0,9,10,0.9,0,4,4,4,1,2,2,0,23,7,1,CLE,1610612739,GSW,1610612744,1,C,0,0,1,0,0,1,23.0,83,215,9,0,123.2,5,0,123.0,7,1,105.3,5,0,119.6,1.6,9.0,28.09,29.692592583333333,17.0,17.3,17.3,7.6,7.111111111111111,7.111111111111111,14.2,13.555555555555555,13.555555555555555,0.535,0.525,0.525,0.4,0.6666666666666666,0.6666666666666666,1.6,1.7777777777777777,1.7777777777777777,0.25,0.375,0.375,1.4,2.4444444444444446,2.4444444444444446,2.2,3.111111111111111,3.111111111111111,0.636,0.786,0.786,1.8,1.6666666666666667,1.6666666666666667,0.2,0.78,0.78,29.692592583333333,1
