,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,VS_PTS,MA_FGM,AVG_FGM,VS_FGM,MA_FGA,AVG_FGA,VS_FGA,MA_FG_PCT,AVG_FG_PCT,VS_FG_PCT,MA_FG3M,AVG_FG3M,VS_FG3M,MA_FG3A,AVG_FG3A,VS_FG3A,MA_FG3_PCT,AVG_FG3_PCT,VS_FG3_PCT,MA_FTM,AVG_FTM,VS_FTM,MA_FTA,AVG_FTA,VS_FTA,MA_FT_PCT,AVG_FT_PCT,VS_FT_PCT,MA_OREB,AVG_OREB,VS_OREB,MA_STL,AVG_STL,VS_STL,VS_MIN,target
0,22024,1629008,0022400075,"OCT 24, 2024",DEN vs. OKC,L,32,5,17,0.294,3,10,0.3,2,2,1.0,1,7,8,2,1,0,1,2,15,-2,1,DEN,1610612743,OKC,1610612760,1,F,0,1,0,0,1,0,26.0,82,218,0,1,87.0,0,5,87.0,1,0,87.0,1,4,102.0,-2.0,-2.0,32.18333333333333,32.18333333333333,15.0,15.0,15.0,5.0,5.0,5.0,17.0,17.0,17.0,0.294,0.294,0.294,3.0,3.0,3.0,10.0,10.0,10.0,0.3,0.3,0.3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.18333333333333,0
1,22024,1629008,0022400087,"OCT 26, 2024",DEN vs. LAC,L,38,4,13,0.308,0,6,0.0,1,1,1.0,2,7,9,3,2,0,1,2,9,3,1,DEN,1610612743,LAC,1610612746,1,F,0,1,0,0,1,0,26.0,82,218,0,2,95.5,0,5,95.5,1,1,110.0,1,4,111.0,0.5,-2.0,35.06666666666667,35.06666666666667,12.0,12.0,9.0,4.5,4.5,4.0,15.0,15.0,13.0,0.3,0.3,0.308,1.5,1.5,0.0,8.0,8.0,6.0,0.188,0.188,0.0,1.5,1.5,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.5,1.5,2.0,1.5,1.5,2.0,37.95,0
2,22024,1629008,0022400107,"OCT 28, 2024",DEN @ TOR,W,39,6,12,0.5,1,4,0.25,0,1,0.0,2,7,9,2,0,1,1,3,13,-10,1,DEN,1610612743,TOR,1610612761,0,F,0,1,0,0,1,0,26.0,82,218,1,2,106.0,1,4,106.0,1,3,120.5,1,4,111.8,-3.0,0.5,36.494444433333335,36.494444433333335,12.3,12.3,13.0,5.0,5.0,6.0,14.0,14.0,12.0,0.357,0.357,0.5,1.3333333333333333,1.3333333333333333,1.0,6.666666666666667,6.666666666666667,4.0,0.2,0.2,0.25,1.0,1.0,0.0,1.3333333333333333,1.3333333333333333,1.0,0.75,0.75,0.0,1.6666666666666667,1.6666666666666667,2.0,1.0,1.0,0.0,39.35,1
3,22024,1629008,0022400113,"OCT 29, 2024",DEN @ BKN,W,41,6,11,0.545,4,7,0.571,0,1,0.0,1,4,5,2,1,0,0,2,16,6,1,DEN,1610612743,BKN,1610612751,0,F,0,1,0,0,1,0,26.0,82,218,2,2,115.5,2,3,115.5,1,3,120.5,1,4,117.8,-0.75,-3.0,37.545833333333334,37.545833333333334,13.3,13.3,16.0,5.25,5.25,6.0,13.25,13.25,11.0,0.396,0.396,0.545,2.0,2.0,4.0,6.75,6.75,7.0,0.296,0.296,0.571,0.75,0.75,0.0,1.25,1.25,1.0,0.6,0.6,0.0,1.5,1.5,1.0,1.0,1.0,1.0,40.7,1
4,22024,1629008,0022400139,"NOV 01, 2024",DEN @ MIN,L,39,11,18,0.611,3,7,0.429,1,2,0.5,2,4,6,4,2,0,3,2,26,-5,1,DEN,1610612743,MIN,1610612750,0,F,0,1,0,0,1,0,26.0,82,218,2,3,115.6,2,3,115.6,3,2,112.4,3,2,113.0,-1.6,-0.75,37.81,37.81,15.8,15.8,26.0,6.4,6.4,11.0,14.2,14.2,18.0,0.451,0.451,0.611,2.2,2.2,3.0,6.8,6.8,7.0,0.324,0.324,0.429,0.8,0.8,1.0,1.4,1.4,2.0,0.571,0.571,0.5,1.6,1.6,2.0,1.2,1.2,2.0,38.86666666666667,1
5,22024,1629008,0022400148,"NOV 02, 2024",DEN vs. UTA,W,29,7,12,0.583,4,6,0.667,2,2,1.0,0,5,5,2,0,0,0,1,20,25,1,DEN,1610612743,UTA,1610612762,1,F,0,1,0,0,1,0,26.0,82,218,3,3,117.8,3,2,124.0,0,6,118.5,0,5,95.0,3.8,-1.6,37.236666666666665,36.394444433333334,16.8,16.5,20.0,6.8,6.5,7.0,13.2,13.833333333333334,12.0,0.515,0.47,0.583,2.4,2.5,4.0,6.0,6.666666666666667,6.0,0.4,0.375,0.667,0.8,1.0,2.0,1.4,1.5,2.0,0.571,0.667,1.0,1.4,1.3333333333333333,0.0,1.0,1.0,0.0,29.316666666666666,1
6,22024,1629008,0022400166,"NOV 04, 2024",DEN vs. TOR,W,36,7,16,0.438,3,10,0.3,2,3,0.667,4,5,9,3,1,1,2,2,19,1,1,DEN,1610612743,TOR,1610612761,1,F,0,1,0,0,1,0,26.0,82,218,4,3,118.3,4,1,127.4,2,6,125.0,1,4,126.6,3.4,2.8333333333333335,36.89666666666667,36.37380951666667,18.8,16.9,16.0,7.4,6.571428571428571,6.5,13.8,14.142857142857142,14.0,0.536,0.465,0.464,3.0,2.5714285714285716,2.0,6.8,7.142857142857143,7.0,0.441,0.36,0.286,1.0,1.1428571428571428,1.0,1.8,1.7142857142857142,2.0,0.556,0.667,0.5,1.8,1.7142857142857142,3.0,0.8,1.0,0.5,37.8,1
7,22024,1629008,0022400177,"NOV 06, 2024",DEN vs. OKC,W,41,7,16,0.438,6,10,0.6,4,4,1.0,1,6,7,3,1,0,1,3,24,4,1,DEN,1610612743,OKC,1610612760,1,F,0,1,0,0,1,0,26.0,82,218,5,3,119.0,4,1,126.8,7,1,99.4,4,1,114.2,6.2,2.5714285714285716,37.3,36.99791666666667,21.0,17.8,19.5,7.6,6.625,6.0,14.6,14.375,16.5,0.521,0.461,0.364,4.0,3.0,4.5,8.0,7.5,10.0,0.5,0.4,0.45,1.8,1.5,3.0,2.4,2.0,3.0,0.75,0.75,1.0,1.6,1.625,1.0,1.0,1.0,1.0,36.775,1
8,22024,1629008,0022400194,"NOV 08, 2024",DEN vs. MIA,W,36,8,15,0.533,5,10,0.5,0,0,0.0,0,5,5,4,2,1,2,2,21,24,1,DEN,1610612743,MIA,1610612748,1,F,0,1,0,0,1,0,26.0,82,218,6,3,120.8,4,1,125.0,3,5,111.9,1,4,113.8,9.8,2.75,36.443333333333335,36.93333333333333,22.0,18.1,21.0,8.0,6.777777777777778,8.0,15.4,14.444444444444445,15.0,0.519,0.469,0.533,4.2,3.2222222222222223,5.0,8.6,7.777777777777778,10.0,0.488,0.414,0.5,1.8,1.3333333333333333,0.0,2.2,1.7777777777777777,0.0,0.818,0.75,0.0,1.4,1.4444444444444444,0.0,1.2,1.11,2.0,36.416666666666664,1
9,22024,1629008,0022400208,"NOV 10, 2024",DEN vs. DAL,W,36,6,11,0.545,2,6,0.333,3,4,0.75,0,7,7,4,1,2,0,2,17,2,1,DEN,1610612743,DAL,1610612742,1,F,0,1,0,0,1,0,26.0,82,218,7,3,120.9,5,0,126.2,5,5,110.1,2,3,117.4,11.2,5.111111111111111,35.85666666666667,36.833333333333336,20.2,18.0,17.0,7.0,6.7,6.0,14.0,14.1,11.0,0.5,0.475,0.545,4.0,3.1,2.0,8.4,7.6,6.0,0.476,0.408,0.333,2.2,1.5,3.0,2.6,2.0,4.0,0.846,0.75,0.75,1.0,1.3,0.0,1.0,1.1,1.0,35.93333333333333,0
