,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,TEAM_ABBREVIATION,TEAM_ID,OPP_TEAM,OPP_TEAMID,Home_Away,POSITION,Primary_Guard,Primary_Forward,Primary_Center,Is_Guard,Is_Forward,Is_Center,AGE,HEIGHT,WEIGHT,TEAM_W,TEAM_L,PPG,L5_W,L5_L,L5_PPG,OPP_TEAM_W,OPP_TEAM_L,OPP_PPG_ALLOWED,OPP_L5_W,OPP_L5_L,OPP_L5_PPG,MA_PLUS_MINUS,AVG_PLUS_MINUS,MA_MIN,AVG_MIN,MA_PTS,AVG_PTS,MA_FGM,AVG_FGM,MA_FGA,AVG_FGA,MA_FG_PCT,AVG_FG_PCT,MA_FG3M,AVG_FG3M,MA_FG3A,AVG_FG3A,MA_FG3_PCT,AVG_FG3_PCT,MA_FTM,AVG_FTM,MA_FTA,AVG_FTA,MA_FT_PCT,AVG_FT_PCT,MA_OREB,AVG_OREB,MA_STL,AVG_STL,target
0,22024,1629014,0022400072,"OCT 23, 2024",POR vs. GSW,L,33,5,12,0.417,2,7,0.286,3,3,1.0,0,2,2,3,1,0,5,3,15,-16,1,POR,1610612757,GSW,1610612744,1,G,1,0,0,1,0,0,25.0,75,200,0,1,104.0,0,5,104.0,1,0,104.0,1,4,140.0,-16.0,-16.0,32.61666666666667,32.61666666666667,15.0,15.0,5.0,5.0,12.0,12.0,0.417,0.417,2.0,2.0,7.0,7.0,0.286,0.286,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0
1,22024,1629014,0022400086,"OCT 25, 2024",POR vs. NOP,L,36,6,20,0.3,2,9,0.222,10,11,0.909,0,1,1,7,1,0,4,2,24,2,1,POR,1610612757,NOP,1610612740,1,G,1,0,0,1,0,0,25.0,75,200,0,2,103.5,0,5,103.5,2,0,107.0,2,3,114.0,-7.0,-16.0,34.38333333333333,34.38333333333333,19.5,19.5,5.5,5.5,16.0,16.0,0.344,0.344,2.0,2.0,8.0,8.0,0.25,0.25,6.5,6.5,7.0,7.0,0.929,0.929,0.0,0.0,1.0,1.0,1
2,22024,1629014,0022400099,"OCT 27, 2024",POR vs. NOP,W,33,8,17,0.471,5,10,0.5,6,6,1.0,0,2,2,6,2,0,2,0,27,25,1,POR,1610612757,NOP,1610612740,1,G,1,0,0,1,0,0,25.0,75,200,1,2,110.7,1,4,110.7,2,1,113.0,2,3,110.3,3.6666666666666665,-7.0,33.86666666666667,33.86666666666667,22.0,22.0,6.333333333333333,6.333333333333333,16.333333333333332,16.333333333333332,0.388,0.388,3.0,3.0,8.666666666666666,8.666666666666666,0.346,0.346,6.333333333333333,6.333333333333333,6.666666666666667,6.666666666666667,0.95,0.95,0.0,0.0,1.33,1.33,1
3,22024,1629014,0022400112,"OCT 28, 2024",POR @ SAC,L,32,4,12,0.333,1,7,0.143,3,4,0.75,0,1,1,3,0,0,4,2,12,-23,1,POR,1610612757,SAC,1610612758,0,G,1,0,0,1,0,0,25.0,75,200,1,3,107.5,1,4,107.5,1,2,115.3,1,4,117.7,-3.0,3.6666666666666665,33.30833333333333,33.30833333333333,19.5,19.5,5.75,5.75,15.25,15.25,0.377,0.377,2.5,2.5,8.25,8.25,0.303,0.303,5.5,5.5,6.0,6.0,0.917,0.917,0.0,0.0,1.0,1.0,0
4,22024,1629014,0022400127,"OCT 30, 2024",POR @ LAC,W,36,10,24,0.417,3,9,0.333,2,2,1.0,0,2,2,6,0,0,1,0,25,2,1,POR,1610612757,LAC,1610612746,0,G,1,0,0,1,0,0,25.0,75,200,2,3,107.2,2,3,107.2,2,2,107.5,2,3,109.8,-2.0,-3.0,33.903333333333336,33.903333333333336,20.6,20.6,6.6,6.6,17.0,17.0,0.388,0.388,2.6,2.6,8.4,8.4,0.31,0.31,4.8,4.8,5.2,5.2,0.923,0.923,0.0,0.0,0.8,0.8,1
5,22024,1629014,0022400140,"NOV 01, 2024",POR vs. OKC,L,28,1,8,0.125,1,3,0.333,6,6,1.0,0,4,4,6,0,1,2,0,9,-9,1,POR,1610612757,OKC,1610612760,1,G,1,0,0,1,0,0,25.0,75,200,2,4,108.3,2,3,109.2,5,0,98.6,5,0,117.2,-0.6,-2.0,33.07666666666667,33.0,19.4,18.7,5.8,5.666666666666667,16.2,15.5,0.358,0.366,2.4,2.3333333333333335,7.6,7.5,0.316,0.311,5.4,5.0,5.8,5.333333333333333,0.931,0.938,0.0,0.0,0.6,0.67,0
6,22024,1629014,0022400149,"NOV 02, 2024",POR @ PHX,L,41,8,25,0.32,4,13,0.308,0,1,0.0,2,6,8,6,2,0,1,2,20,6,1,POR,1610612757,PHX,1610612756,0,G,1,0,0,1,0,0,25.0,75,200,2,5,106.7,2,3,108.0,5,1,109.8,4,1,113.4,0.2,-3.1666666666666665,33.95666666666666,34.07857141666667,18.6,18.9,6.2,6.0,17.2,16.857142857142858,0.36,0.356,2.8,2.5714285714285716,8.4,8.285714285714286,0.333,0.31,3.4,4.285714285714286,3.8,4.714285714285714,0.895,0.909,0.4,0.2857142857142857,0.8,0.86,1
7,22024,1629014,0022400164,"NOV 04, 2024",POR @ NOP,W,34,10,17,0.588,3,8,0.375,1,1,1.0,0,1,1,4,1,0,2,1,24,13,1,POR,1610612757,NOP,1610612740,0,G,1,0,0,1,0,0,25.0,75,200,3,5,108.1,2,3,106.6,3,5,116.1,1,4,106.2,-2.2,-1.8571428571428572,34.21,34.08125,18.0,19.5,6.6,6.5,17.2,16.875,0.384,0.385,2.4,2.625,8.0,8.25,0.3,0.318,2.4,3.875,2.8,4.25,0.857,0.912,0.4,0.25,0.6,0.88,1
8,22024,1629014,0022400183,"NOV 07, 2024",POR @ SAS,L,33,7,16,0.438,3,9,0.333,2,2,1.0,0,0,0,7,1,0,3,2,19,-14,1,POR,1610612757,SAS,1610612759,0,G,1,0,0,1,0,0,25.0,75,200,3,6,107.8,2,3,108.0,4,5,108.1,3,2,108.2,-0.4,0.0,34.43333333333333,33.93333333333333,19.4,19.4,7.2,6.555555555555555,18.0,16.77777777777778,0.4,0.391,2.8,2.6666666666666665,8.4,8.333333333333334,0.333,0.32,2.2,3.6666666666666665,2.4,4.0,0.917,0.917,0.4,0.2222222222222222,0.8,0.89,0
9,22024,1629014,0022400193,"NOV 08, 2024",POR @ MIN,L,27,6,16,0.375,2,7,0.286,0,0,0.0,0,1,1,2,1,0,1,2,14,-23,1,POR,1610612757,MIN,1610612750,0,G,1,0,0,1,0,0,25.0,75,200,3,7,107.2,1,4,107.2,6,3,109.9,4,1,119.6,-5.4,-1.5555555555555556,32.53333333333333,33.218333333333334,17.2,18.9,6.4,6.5,16.4,16.7,0.39,0.389,2.6,2.6,8.0,8.2,0.325,0.317,1.8,3.3,2.0,3.6,0.9,0.917,0.4,0.2,1.0,0.9,0
